1,"A Imagem - Aparência Social<br> - Você projeta uma imagem de força, independência e pioneirismo. É visto como alguém que toma a iniciativa, que tem coragem e que não precisa de ninguém para começar. A postura é de líder nato, decidido e com foco.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de autoridade e autoconfiança. As pessoas tendem a te respeitar, mas também podem te achar individualista, um pouco egocêntrico ou até intimidador se você não suavizar a abordagem.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Sou Capaz' serve para abrir portas, romper barreiras e assumir a liderança em novos projetos. Ela te protege da dependência e garante que sua singularidade seja notada."
2,"A Imagem - Aparência Social<br> - Você projeta uma imagem de calma, sensibilidade e cooperação. É visto como um bom ouvinte, gentil, tátil e que busca a harmonia a todo custo. A postura é de parceiro e de alguém que evita conflitos.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de simpatia, paciência e confiabilidade. As pessoas se sentem à vontade com você, mas podem te achar indeciso, passivo ou até vulnerável (o que atrai pessoas que buscam apoio).<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Coopera' serve para negociar, mediar conflitos e trabalhar bem em equipe. Ela te protege da agressão, permitindo que você navegue em ambientes tensos com leveza."
3,"A Imagem - Aparência Social<br> - Você projeta uma imagem de otimismo, alegria e comunicação. É visto como o bon vivant, sociável, criativo e cheio de entusiasmo pela vida. A postura é expressiva, descontraída e até um pouco dramática.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de magnetismo, carisma e talento (seja na fala ou na arte). As pessoas se divertem e se sentem animadas perto de você, mas podem te achar superficial, disperso ou focado demais em si mesmo.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Brilho' serve para facilitar a socialização, aliviar tensões e ser uma fonte de inspiração. Ela te protege de parecer aborrecido ou insignificante."
4,"A Imagem - Aparência Social<br> - Você projeta uma imagem de solidez, seriedade e confiabilidade. É visto como alguém prático, trabalhador, metódico e com os 'pés no chão'. A postura é reservada, disciplinada e até um pouco rígida.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de estabilidade, honestidade e competência. As pessoas confiam em você para tarefas difíceis, mas podem te achar lento, teimoso, inflexível ou excessivamente formal.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Estruturo' serve para transmitir segurança, garantir a ordem e ser o pilar da equipe. Ela te protege da desorganização e do caos."
5,"A Imagem - Aparência Social<br> - Você projeta uma imagem de dinamismo, versatilidade e curiosidade. É visto como um aventureiro, agitado, com múltiplos interesses e que precisa de liberdade. A postura é inquieta, sensual e adaptável.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de agilidade, inteligência e excitação. As pessoas são atraídas pela sua energia vibrante, mas podem te achar irresponsável, inconstante ou com falta de foco e compromisso.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Mudo' serve para experimentar, mediar grandes grupos e negociar. Ela te protege do tédio e permite que você se desvencilhe facilmente de situações limitantes."
6,"A Imagem - Aparência Social<br> - Você projeta uma imagem de afeto, responsabilidade e humanidade. É visto como alguém preocupado com o bem-estar alheio, que valoriza a família e a beleza. A postura é acolhedora, harmoniosa e, muitas vezes, esteticamente agradável.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de calidez, confiabilidade e empatia. As pessoas te procuram para pedir conselhos e ajuda, mas podem te achar intrometido, perfeccionista ou excessivamente preocupado com o que os outros pensam.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Cuido' serve para reunir, pacificar ambientes e ser o elo social. Ela te protege de parecer frio ou desinteressado pelo sofrimento alheio."
7,"A Imagem - Aparência Social<br> - Você projeta uma imagem de introspecção, intelectualidade e mistério. É visto como alguém reservado, profundo, que observa muito e fala pouco, focando em fatos e análises. A postura é séria, refinada e distante.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de sabedoria, inteligência e competência técnica. As pessoas te respeitam por seu conhecimento, mas podem te achar frio, solitário, esnobe ou inacessível.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Analiso' serve para manter a privacidade, aprofundar-se em estudos e evitar a superficialidade. Ela te protege da invasão e da pressão social."
8,"A Imagem - Aparência Social<br> - Você projeta uma imagem de sucesso, autoridade e ambição. É visto como alguém focado em resultados, com capacidade de liderança e que entende de dinheiro e poder. A postura é imponente, próspera e decidida.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de prestígio, riqueza e eficiência. As pessoas te veem como uma referência de sucesso, mas podem te achar dominador, materialista ou insensível aos aspectos humanos.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Realizo' serve para atrair oportunidades financeiras, negociar em alto nível e gerenciar grandes estruturas. Ela te protege de ser subestimado ou passado para trás."
9,"A Imagem - Aparência Social<br> - Você projeta uma imagem de altruísmo, generosidade e universalidade. É visto como alguém sábio, compreensivo e preocupado com o bem coletivo. A postura é calma, digna e, muitas vezes, artística ou inspiradora.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão imediata de compaixão, desprendimento e idealismo. As pessoas se sentem seguras com sua tolerância, mas podem te achar sonhador, distante da realidade ou alguém que se sacrifica demais pelos outros.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Sirvo' serve para finalizar ciclos, inspirar a fé na humanidade e ser um conselheiro universal. Ela te protege do egoísmo e da pequenez."
11,"A Imagem - Aparência Social<br> - Você projeta uma imagem de grande idealismo, intuição elevada e conexão espiritual. É visto como um visionário ou um mestre que se expressa de forma singular. A postura é carismática, eletrizante e, por vezes, excêntrica.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão de fascínio, inspiração ou estranheza. As pessoas sentem uma energia forte e diferente em você, mas podem te achar excessivamente nervoso, fanático ou muito cabeça nas nuvens.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Ilumino' serve para liderar pelo exemplo espiritual e transmitir ideias de vanguarda. Ela atrai seguidores e pessoas que buscam um caminho superior."
22,"A Imagem - Aparência Social<br> - Você projeta uma imagem de poder construtivo, capacidade de materialização e grandiosidade. É visto como um executor de projetos gigantescos, prático e visionário ao mesmo tempo. A postura é de gigante, segura e extremamente competente.<br><br>O Efeito - Primeira Impressão<br> - Causa uma impressão de confiança absoluta e potencial ilimitado. As pessoas imediatamente confiam em você para administrar grandes bens ou projetos, mas podem te achar intenso, obcecado por trabalho ou frio na busca pelo resultado.<br><br>O Propósito - A Máscara Útil<br> - A máscara do 'Eu Construo' serve para organizar o futuro, realizar o ideal e unir o material ao espiritual. Ela te posiciona como o arquiteto do seu próprio destino."
